params,score
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06645893259685764
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.0721978371339951
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.0}",-0.07639143732351182
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 0.1}",-0.07735005355540882
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 10, 'lambda_l1': 1.0, 'lambda_l2': 1.0}",-0.07680150854341149
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.0}",-0.06048842759467627
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 0.1}",-0.0597830214565239
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.0, 'lambda_l2': 1.0}",-0.06239414342664776
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.0}",-0.06763259152993645
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 0.1}",-0.06812169750897389
"{'learning_rate': 0.01, 'num_leaves': 31, 'max_depth': 7, 'min_data_in_leaf': 20, 'lambda_l1': 0.1, 'lambda_l2': 1.0}",-0.07499682491263467
